139,羽毛(绒)加工及制品制造,
140,羽毛（绒）加工,对鹅、鸭等禽类羽毛进行加工成标准毛的生产活动
141,羽毛（绒）制品加工,用加工过的羽毛(绒)作为填充物制作各种用途的羽绒制品(如羽绒服装、羽绒寝具、羽绒睡袋等)的生产活动
142,制鞋业,纺织面料鞋、皮鞋、塑料鞋、橡胶鞋及其他各种鞋的生产活动
143,纺织面料鞋制造,用各种纺织面料、木材、棕草等原料缝制、模压或编制各种鞋的生产活动
144,皮鞋制造,全部或大部分用皮革、人造革、合成革为面料，橡胶、塑料或合成材料等为外底，按缝绱、胶粘、模压、注塑等工艺方法制作各种皮鞋的生产活动
145,塑料鞋制造,聚氯乙烯、聚乙烯、聚氨酯和乙烯醋酸乙烯等树脂为原料生产发泡或不发泡的塑料鞋类制品的活动
146,橡胶鞋制造,橡胶作为鞋底、鞋帮的运动鞋及其他橡胶鞋和橡胶鞋部件的生产活动
147,其他制鞋业,
148,木材加工和木、竹、藤、棕、草制品业,
149,木材加工,
150,锯材加工,原木为原料，利用锯木机械或手工工具将原木纵向锯成具有一定断面尺寸（宽、厚度）的木材加工生产活动，用防腐剂和其他物质浸渍木料或对木料进行化学处理的加工，及地板毛料的制造
151,木片加工,利用森林采伐、造材、加工等剩余物和定向培育的木材，经削（刨）片机加工成一定规格的产品生产活动
152,单板加工,用于胶合板、细工木板、木质重组装饰材、装饰单板（厚度0.55mm下)、单层板积材（LVL）、纺织用木质层压板、电工层压板和木质层积塑料等材料的生产活动
153,其他木材加工,对木材进行干燥、防腐、改性、染色加工等活动
154,人造板制造,用木材及其剩余物、棉秆、甘蔗渣和芦苇等植物纤维为原料，加工成符合国家标准的胶合板、纤维板、刨花板、细木工板和木丝板等产品的生产活动，及人造板二次加工装饰板的制造
155,胶合板制造,具有一定规格的原木经旋（刨）切成单板，再经干燥、涂胶、组坯、热压而成的符合国家标准及供需双方协定标准的产品生产活动
156,纤维板制造,用木材碎料（包括木片）、棉秆、甘蔗渣、芦苇等植物纤维作原料，经削片纤维分离，铺装成型，热压而成的产品生产活动
157,刨花板制造,用木材碎料（包括木片）和其他植物纤维作原料，制成刨花，经干燥、施胶，铺装成型，热压而成的产品生产活动
158,其他人造板制造,包括非木质人造板、细工木板、胶合木等其他各类人造板的制造
159,木质制品制造,木材为原料加工成建筑用木料和木材组件、木容器、软木制品及其他木制品的生产活动，但不包括木质家具的制造
160,建筑用木料及木材组件加工,主要用于建筑施工工程的木质制品，如建筑施工用的大木工或其他支撑物，及建筑木工的生产活动
161,木门窗制造,
162,木楼梯制造,
163,木地板制造,
164,木制容器制造,
165,软木制品及其他木制品制造,天然软木除去表皮，经初加工后获得的结块软木及其制品的生产活动，及其他未列明的木质产品的生产活动，包括整体定制家具制造的活动
166,竹、藤、棕、草等制品制造,除木材外，竹、藤、棕、草等天然植物为原料生产制品的活动，但不包括家具的制造
167,竹制品制造,竹胶合板、竹地板、竹丝板、竹梯子、竹键盘、竹篮子、竹筷子、竹席、高温竹炭制品等竹制工业用品、建筑用品、包装用品、保健品和生活日用品的制造
168,藤制品制造,
169,棕制品制造,
170,草及其他制品制造,
171,家具制造业,用木材、金属、塑料、竹、藤等材料制作的，具有坐卧、凭倚、储藏、间隔等功能，可用于住宅、旅馆、办公室、学校、餐馆、医院、剧场、公园、船舰、飞机、机动车等任何场所的各种家具的制造
172,木质家具制造,天然木材和木质人造板为主要材料，配其他辅料（如油漆、贴面材料、玻璃、五金配件等）制作各种家具的生产活动
173,竹、藤家具制造,竹材和藤材为主要材料，配其他辅料制作各种家具的生产活动
174,金属家具制造,支(框)架及主要部件铸铁、钢材、钢板、钢管、合金等金属为主要材料，结合使用木、竹、塑等材料，配人造革、尼龙布、泡沫塑料等其他辅料制作各种家具的生产活动
175,塑料家具制造,用塑料管、板、异型材加工或用塑料、玻璃钢（即增强塑料）直接在模具中成型的家具的生产活动
176,其他家具制造,主要由弹性材料(如弹簧、蛇簧、拉簧等)和软质材料(如棕丝、棉花、乳胶海绵、泡沫塑料等)，辅绷结材料(如绷绳、绷带、麻布等)和装饰面料及饰物(如棉、毛、化纤织物及牛皮、羊皮、人造革等)制成的各种软家具；玻璃为主要材料，辅木材或金属材料制成的各种玻璃家具，及其他未列明的原材料制作各种家具的生产活动
177,造纸和纸制品业,
178,纸浆制造,经机械或化学方法加工纸浆的生产活动
179,木竹浆制造,
180,非木竹浆制造,
181,造纸,用纸浆或其他原料（如矿渣棉、云母、石棉等）悬浮在流体中的纤维，经过造纸机或其他设备成型，或手工操作而成的纸及纸板的制造
182,机制纸及纸板制造,
183,手工纸制造,采用手工操作成型，制成纸的生产活动
184,加工纸制造,对原纸及纸板进一步加工的生产活动
185,纸制品制造,用纸及纸板为原料，进一步加工制成纸制品的生产活动
186,纸和纸板容器制造,
187,其他纸制品制造,符合出售规格或包装要求的纸制品，及其他未列明的纸制品的制造
188,印刷和记录媒介复制业,
189,印刷,
190,书、报刊印刷,
191,本册印制,由各种纸及纸板制作的，用于书写和其他用途的本册生产活动
192,包装装潢及其他印刷,根据一定的商品属性、形态，采用一定的包装材料，经过对商品包装的造型结构艺术和图案文字的设计与安排来装饰美化商品的印刷，及其他印刷活动
193,装订及印刷相关服务,专门企业从事的装订、压印媒介制造等与印刷有关的服务
194,记录媒介复制,将母带、母盘上的信息进行批量翻录的生产活动
195,文教、工美、体育和娱乐用品制造业,
196,文教办公用品制造,
197,文具制造,办公、学习等使用的各种文具的制造
198,笔的制造,用于学习、办公或绘画等用途的各种笔制品的制造
199,教学用模型及教具制造,主要用于教学的各种专用模型、标本及教具的制造
200,墨水、墨汁制造,
